0   0	0.44	-0.29	0.39	10.55	1.49	0.24	-0.4644	0.5927	-0.2811	-0.5950	0.00
1	15	0.49	0.06	0.22	10.55	1.49	0.24	-0.4669	0.5928	-0.2786	-0.5942	0.00
2	76	0.27	0.28	-0.08	9.85	1.84	0.20	-0.4825	0.6003	-0.2634	-0.5807	0.00
3	77	0.31	-0.18	0.02	10.00	2.20	0.20	-0.4919	0.6096	-0.2538	-0.5675	92919.75
4	81	-0.01	0.04	0.07	9.81	2.55	0.12	-0.4930	0.6204	-0.2524	-0.5552	92919.75
5	82	0.06	-0.05	0.01	10.20	2.79	-0.04	-0.4916	0.6199	-0.2517	-0.5574	92919.75
6	83	0.00	-0.04	0.10	9.92	2.75	0.00	-0.4910	0.6171	-0.2510	-0.5613	92934.25
7	80	-0.05	-0.33	0.16	9.96	2.75	0.08	-0.4897	0.6154	-0.2507	-0.5645	92934.25
8	82	-0.11	-0.01	-0.10	10.16	2.67	0.16	-0.4871	0.6109	-0.2542	-0.5701	92934.25
9	84	-0.04	-0.27	0.06	10.08	2.55	0.08	-0.4887	0.6038	-0.2529	-0.5768	92940.75
10	83	-0.32	-0.67	0.48	10.04	2.00	0.59	-0.4772	0.5845	-0.2646	-0.6005	92940.75
11	84	-1.45	-0.40	0.29	11.02	2.04	0.86	-0.4537	0.5324	-0.2900	-0.6531	92940.75
12	83	1.01	-0.65	0.00	10.20	-0.08	1.26	-0.4410	0.4753	-0.3121	-0.6944	92940.75
13	84	-0.57	0.73	-0.44	9.81	-0.94	1.41	-0.4299	0.4769	-0.3354	-0.6894	92940.75
14	85	-0.20	0.51	0.00	10.43	-1.37	1.57	-0.4944	0.4808	-0.2890	-0.6639	92940.75
15	83	0.12	1.29	-0.15	9.65	-1.41	1.53	-0.5417	0.4937	-0.2406	-0.6364	92937.25
16	83	0.44	0.66	0.38	9.06	2.43	2.59	-0.6187	0.4991	-0.2169	-0.5666	92937.25
17	81	1.99	-0.64	0.49	8.63	2.55	2.82	-0.7087	0.4901	-0.1934	-0.4692	92937.25
18	82	-0.59	1.30	-1.36	6.47	4.75	5.06	-0.8073	0.3885	-0.1701	-0.4104	92938.50
19	83	0.01	0.00	0.67	5.84	3.18	6.39	-0.8547	0.3233	-0.1407	-0.3809	92938.50
20	80	-2.13	1.13	-1.09	5.53	3.65	6.08	-0.8781	0.2643	-0.1513	-0.3691	92938.50
21	83	0.79	0.41	-0.32	5.84	4.63	7.81	-0.8998	0.2097	-0.1110	-0.3660	92938.25
22	82	0.46	-1.90	2.59	2.90	1.33	7.61	-0.9150	0.1911	-0.0414	-0.3530	92938.25
23	83	0.49	-0.48	2.36	2.24	2.12	7.88	-0.9351	0.1473	-0.0082	-0.3221	92938.25
24	81	0.48	0.32	0.89	1.26	2.24	9.38	-0.9414	0.1415	-0.0007	-0.3062	92938.50
25	80	-0.95	1.38	-2.95	1.57	1.69	8.87	-0.9476	0.1268	-0.0490	-0.2892	92938.50
26	83	0.02	0.59	0.19	2.28	0.51	6.90	-0.9603	0.0719	-0.0003	-0.2695	92938.50
27	82	4.16	-9.49	19.91	0.04	0.31	7.61	-0.9709	0.0572	0.0660	-0.2229	92938.00
28	82	1.28	-0.12	-1.91	-6.28	-1.84	13.45	-0.9789	-0.0615	-0.0040	-0.1946	92938.00
29	87	-0.29	0.27	-3.85	0.24	-2.16	7.69	-0.9793	-0.0604	-0.0104	-0.1929	92938.00
30	84	0.55	0.74	0.94	0.67	-0.16	11.22	-0.9817	-0.0103	-0.0004	-0.1901	92942.25
31	84	-1.47	0.94	0.39	0.12	-1.45	9.38	-0.9821	-0.0031	-0.0067	-0.1884	92942.25
32	85	-0.35	-0.62	-0.49	1.22	-0.55	8.75	-0.9854	-0.0015	0.0021	-0.1705	92942.25
33	84	-0.17	-0.28	0.06	0.43	-0.55	8.90	-0.9854	-0.0012	0.0024	-0.1704	92937.50
34	84	-0.10	-0.24	0.15	0.39	-0.67	8.90	-0.9854	-0.0004	0.0021	-0.1704	92937.50
35	83	-0.09	-0.23	0.21	0.47	-0.59	8.87	-0.9849	0.0004	0.0019	-0.1732	92937.50
36	83	-0.11	-0.20	0.15	0.47	-0.67	8.90	-0.9849	0.0010	0.0017	-0.1729	92938.25
37	83	-0.09	-0.22	0.20	0.51	-0.67	8.98	-0.9850	0.0016	0.0015	-0.1727	92938.25
38	83	-0.14	-0.19	0.22	0.51	-0.63	8.90	-0.9850	0.0023	0.0013	-0.1728	92938.25
39	83	-0.08	-0.21	0.12	0.47	-0.67	8.87	-0.9850	0.0027	0.0012	-0.1725	92939.25
40	83	-0.10	-0.20	0.19	0.43	-0.63	8.83	-0.9846	0.0032	0.0010	-0.1746	92939.25
41	83	-0.07	-0.15	0.17	0.47	-0.63	8.94	-0.9846	0.0036	0.0010	-0.1747	92939.25
42	83	-0.02	-0.16	0.18	0.43	-0.63	8.75	-0.9845	0.0041	0.0009	-0.1754	92940.75
43	83	-0.05	-0.13	0.22	0.47	-0.63	8.94	-0.9844	0.0044	0.0007	-0.1758	92940.75
44	83	-0.09	-0.17	0.19	0.47	-0.63	8.90	-0.9844	0.0047	0.0007	-0.1757	92940.75
45	83	-0.08	-0.15	0.12	0.43	-0.67	8.90	-0.9844	0.0051	0.0005	-0.1756	92939.75
46	83	-0.06	-0.14	0.01	0.47	-0.63	8.90	-0.9844	0.0053	0.0005	-0.1758	92939.75
47	83	-0.06	-0.14	0.00	0.43	-0.55	8.94	-0.9841	0.0056	0.0004	-0.1777	92939.75
48	83	-0.09	-0.10	-0.08	0.47	-0.59	8.90	-0.9842	0.0058	0.0003	-0.1772	92936.25
49	83	-0.04	-0.11	0.01	0.47	-0.63	8.83	-0.9840	0.0060	0.0002	-0.1780	92936.25
50	83	-0.07	-0.11	0.00	0.47	-0.59	8.87	-0.9840	0.0063	0.0001	-0.1780	92936.25
51	83	-0.06	-0.12	-0.08	0.47	-0.63	8.87	-0.9840	0.0065	0.0001	-0.1779	92939.50
52	84	-0.07	-0.11	0.01	0.47	-0.63	9.02	-0.9840	0.0067	-0.0001	-0.1779	92939.50
53	84	-0.06	-0.10	-0.01	0.51	-0.67	8.90	-0.9840	0.0068	-0.0001	-0.1779	92939.50
54	84	-0.07	-0.10	-0.10	0.47	-0.67	8.87	-0.9840	0.0070	-0.0001	-0.1779	92940.50
55	86	-0.06	-0.11	-0.05	0.51	-0.59	8.94	-0.9840	0.0070	-0.0001	-0.1779	92940.50
56	84	-0.09	-0.08	0.00	0.47	-0.63	8.94	-0.9840	0.0070	-0.0001	-0.1779	92940.50
57	85	-0.03	-0.13	-0.01	0.47	-0.67	8.90	-0.9840	0.0070	-0.0001	-0.1779	92939.00
58	84	-0.08	-0.11	0.00	0.51	-0.59	8.87	-0.9840	0.0070	-0.0001	-0.1779	92939.00
59	84	-0.04	-0.10	0.02	0.39	-0.63	8.87	-0.9840	0.0070	-0.0001	-0.1779	92939.00
60	85	-0.05	-0.09	-0.04	0.43	-0.59	8.90	-0.9840	0.0070	-0.0001	-0.1779	92940.50
61	84	-0.05	-0.10	-0.03	0.47	-0.51	8.90	-0.9840	0.0070	-0.0001	-0.1779	92940.50
